,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,ATL,DEF,5,1,4,-,1,-,-,6,28.00
1,CAR,DEF,2,-,3,-,2,-,-,28,19.00
2,SF,DEF,2,2,2,-,1,-,-,14,17.00
3,HOU,DEF,4,1,2,-,1,-,-,25,16.00
4,WSH,DEF,4,1,1,-,1,-,-,16,15.00
5,GB,DEF,3,2,1,-,1,-,-,25,15.00
6,LAR,DEF,2,1,2,-,1,-,-,17,15.00
7,MIA,DEF,3,2,-,-,-,-,-,3,14.00
8,NO,DEF,1,2,1,-,-,-,-,3,14.00
9,PIT,DEF,3,1,1,-,1,-,-,14,14.00
10,TEN,DEF,2,1,-,-,-,-,1,26,10.00
11,CIN,DEF,-,-,1,-,-,-,1,19,9.00
12,LAC,DEF,3,1,2,-,-,-,-,27,9.00
13,NYG,DEF,2,1,2,-,-,-,-,17,9.00
14,NYJ,DEF,4,-,2,-,-,-,-,20,9.00
15,SEA,DEF,6,1,-,-,-,-,-,17,9.00
16,ARI,DEF,3,2,-,-,-,-,-,20,8.00
17,BAL,DEF,-,1,1,-,-,-,-,13,8.00
18,BUF,DEF,3,1,-,-,-,-,-,17,6.00
19,KC,DEF,1,2,-,-,-,-,-,24,5.00
20,NE,DEF,2,1,-,-,-,-,-,17,5.00
21,DEN,DEF,3,1,-,-,-,-,-,31,4.00
22,TB,DEF,2,-,1,-,-,-,-,27,4.00
23,JAX,DEF,2,-,1,-,-,-,-,27,4.00
24,MIN,DEF,-,1,-,-,-,-,-,15,3.00
25,PHI,DEF,2,-,-,-,-,-,-,23,2.00
26,DAL,DEF,3,1,-,-,-,-,-,35,1.00
27,CLE,DEF,-,-,-,-,-,-,-,25,0.00
28,DET,DEF,2,-,1,-,-,-,-,35,0.00
29,LV,DEF,1,1,-,-,-,-,-,37,-1.00
30,IND,DEF,1,-,-,-,-,-,-,45,-3.00
31,CHI,DEF,-,-,-,-,-,-,-,35,-4.00
