,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,TB,DEF,5,2,-,-,1,-,-,10,19.00
1,PIT,DEF,4,2,-,-,1,-,-,7,18.00
2,ARI,DEF,3,2,2,-,-,-,-,10,15.00
3,MIA,DEF,3,1,-,-,-,-,-,0,15.00
4,DEN,DEF,4,2,1,-,-,-,-,12,14.00
5,NYG,DEF,3,1,1,-,1,-,-,19,14.00
6,CHI,DEF,4,2,1,-,-,-,-,16,11.00
7,ATL,DEF,1,3,-,-,-,-,-,23,7.00
8,NE,DEF,2,2,-,-,-,-,-,18,7.00
9,BAL,DEF,6,-,1,-,-,-,-,28,7.00
10,NYJ,DEF,2,2,-,-,-,-,-,24,6.00
11,DET,DEF,1,1,1,-,-,-,-,16,6.00
12,CIN,DEF,1,1,1,-,-,-,-,31,4.00
13,IND,DEF,2,1,-,-,-,-,-,27,4.00
14,WSH,DEF,1,1,-,-,-,-,-,14,4.00
15,SF,DEF,-,1,-,-,-,-,-,16,3.00
16,BUF,DEF,1,-,1,-,-,-,-,26,3.00
17,KC,DEF,-,1,-,-,-,-,-,17,3.00
18,PHI,DEF,3,-,-,-,-,-,-,30,2.00
19,CAR,DEF,-,1,-,-,-,-,-,23,2.00
20,HOU,DEF,2,1,1,-,-,-,-,42,2.00
21,CLE,DEF,2,-,-,-,-,-,-,32,1.00
22,JAX,DEF,-,1,-,-,-,-,-,34,1.00
23,LAR,DEF,-,-,-,-,-,-,-,24,0.00
24,MIN,DEF,2,-,1,-,-,-,-,40,0.00
25,GB,DEF,-,-,-,-,-,-,-,32,-1.00
26,TEN,DEF,2,-,-,-,-,-,-,36,-2.00
27,DAL,DEF,1,-,-,-,-,-,-,38,-3.00
28,LAC,DEF,-,-,-,-,-,-,-,-,0.00
29,LV,DEF,-,-,-,-,-,-,-,-,0.00
30,NO,DEF,-,-,-,-,-,-,-,-,0.00
31,SEA,DEF,-,-,-,-,-,-,-,-,0.00
