,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,WSH,DEF,4,1,2,-,2,-,-,15,23.00
1,LAR,DEF,6,1,-,-,1,-,-,3,21.00
2,ARI,DEF,8,-,3,-,-,-,-,7,18.00
3,DAL,DEF,2,-,3,-,1,-,-,7,18.00
4,CHI,DEF,7,-,2,1,-,-,-,7,17.00
5,KC,DEF,4,1,-,1,-,-,1,27,14.00
6,BUF,DEF,1,2,-,-,1,-,-,15,12.00
7,IND,DEF,-,2,1,-,1,-,-,27,12.00
8,SEA,DEF,3,-,1,-,-,-,-,3,12.00
9,DEN,DEF,4,-,-,-,-,-,1,27,10.00
10,MIA,DEF,3,3,1,-,-,-,-,31,10.00
11,TB,DEF,6,-,1,-,-,-,-,14,9.00
12,LAC,DEF,2,3,-,-,-,-,-,17,9.00
13,PHI,DEF,5,1,1,-,-,-,-,21,9.00
14,SF,DEF,2,1,-,-,-,-,-,11,8.00
15,PIT,DEF,1,1,1,-,-,-,-,20,6.00
16,TEN,DEF,-,1,-,-,-,-,-,10,6.00
17,ATL,DEF,1,1,-,-,-,-,-,20,4.00
18,GB,DEF,4,-,-,-,-,-,-,24,4.00
19,NE,DEF,1,1,-,-,-,-,-,18,4.00
20,CIN,DEF,2,-,-,-,-,-,-,24,2.00
21,JAX,DEF,1,-,1,-,-,-,-,31,2.00
22,CAR,DEF,1,-,1,-,-,-,-,32,2.00
23,NO,DEF,-,-,1,-,-,-,-,24,2.00
24,HOU,DEF,3,-,-,-,-,-,-,34,2.00
25,NYG,DEF,1,-,-,-,-,-,-,26,1.00
26,CLE,DEF,4,-,-,-,-,-,-,45,0.00
27,BAL,DEF,-,1,-,1,-,-,-,42,0.00
28,MIN,DEF,-,-,-,-,-,-,-,26,0.00
29,NYJ,DEF,1,1,-,-,-,-,-,40,-1.00
30,DET,DEF,-,-,-,-,-,-,-,31,-1.00
31,LV,DEF,-,-,-,-,-,-,-,38,-4.00
