,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,WSH,DEF,8,2,1,-,-,-,-,17,15.00
1,BAL,DEF,2,1,2,-,-,-,-,6,15.00
2,NO,DEF,3,2,1,-,1,-,-,23,15.00
3,LAC,DEF,3,1,1,-,-,-,-,13,11.00
4,NE,DEF,1,3,-,-,-,-,-,11,11.00
5,BUF,DEF,3,1,1,-,-,-,-,17,8.00
6,PIT,DEF,3,2,-,-,-,-,-,16,8.00
7,KC,DEF,4,1,-,-,-,-,-,20,7.00
8,NYJ,DEF,3,-,2,-,-,-,-,27,7.00
9,JAX,DEF,1,2,-,-,-,-,-,20,6.00
10,SEA,DEF,2,1,1,-,-,-,-,25,6.00
11,GB,DEF,2,1,-,1,-,-,-,34,5.00
12,SF,DEF,2,1,-,-,-,-,-,24,4.00
13,ARI,DEF,3,-,-,-,-,-,-,20,4.00
14,IND,DEF,4,-,-,-,-,-,-,27,4.00
15,DAL,DEF,1,1,-,-,-,-,-,20,4.00
16,MIA,DEF,2,-,1,-,-,-,-,21,4.00
17,NYG,DEF,2,-,1,-,-,-,-,26,4.00
18,LAR,DEF,3,-,-,-,-,-,-,17,4.00
19,CHI,DEF,1,1,-,-,-,-,-,23,3.00
20,CIN,DEF,2,-,-,-,-,-,-,16,3.00
21,PHI,DEF,3,-,-,-,-,-,-,27,3.00
22,TEN,DEF,-,-,1,-,-,-,-,14,3.00
23,DEN,DEF,1,-,-,-,-,-,-,16,2.00
24,DET,DEF,1,-,-,-,-,-,-,27,1.00
25,CLE,DEF,2,-,1,-,-,-,-,38,0.00
26,TB,DEF,1,-,-,-,-,-,-,28,0.00
27,LV,DEF,1,-,-,-,-,-,-,30,0.00
28,HOU,DEF,1,-,-,-,-,-,-,34,0.00
29,ATL,DEF,3,-,-,-,-,-,-,38,-1.00
30,CAR,DEF,-,-,-,-,-,-,-,34,-1.00
31,MIN,DEF,-,-,-,-,-,-,-,41,-4.00
