,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,NE,DEF,3,2,-,-,1,-,1,0,29.00
1,MIA,DEF,6,2,-,-,-,-,-,7,14.00
2,JAX,DEF,4,1,1,-,1,-,-,25,14.00
3,NYG,DEF,5,1,1,-,-,-,-,10,13.00
4,MIN,DEF,2,2,2,1,-,-,-,18,13.00
5,IND,DEF,5,1,1,1,-,-,-,20,12.00
6,LAR,DEF,2,1,1,-,1,-,-,28,11.00
7,GB,DEF,7,1,-,-,-,-,-,16,10.00
8,LV,DEF,3,1,2,-,-,-,-,28,8.00
9,PHI,DEF,2,-,-,-,-,-,1,30,7.00
10,SEA,DEF,2,1,-,1,-,-,-,17,7.00
11,NO,DEF,3,-,1,-,-,-,-,16,6.00
12,CLE,DEF,3,1,2,-,-,-,-,35,5.00
13,KC,DEF,-,2,-,-,-,-,-,16,5.00
14,NYJ,DEF,2,1,1,-,-,-,-,31,5.00
15,BUF,DEF,-,2,-,-,-,-,-,24,4.00
16,ATL,DEF,2,-,1,-,-,-,-,21,4.00
17,BAL,DEF,1,1,-,-,-,-,-,17,4.00
18,CHI,DEF,2,1,-,-,-,-,-,34,3.00
19,CIN,DEF,-,-,1,-,-,-,-,19,3.00
20,WSH,DEF,-,1,-,-,-,-,-,17,3.00
21,DET,DEF,2,-,1,-,-,-,-,30,3.00
22,PIT,DEF,3,-,-,-,-,-,-,23,3.00
23,HOU,DEF,3,-,-,-,-,-,-,24,3.00
24,SF,DEF,1,-,1,-,-,-,-,34,2.00
25,ARI,DEF,1,-,1,-,-,-,-,32,2.00
26,DEN,DEF,1,-,-,-,-,-,-,22,1.00
27,DAL,DEF,-,1,-,-,-,-,-,34,1.00
28,TEN,DEF,-,-,1,-,-,-,-,41,-2.00
29,LAC,DEF,1,-,-,-,-,-,-,45,-3.00
30,TB,DEF,-,-,-,-,-,-,-,-,0.00
31,CAR,DEF,-,-,-,-,-,-,-,-,0.00
