,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,MIA,DEF,2,2,2,-,1,-,1,17,23.00
1,PHI,DEF,4,-,2,1,1,-,-,9,20.00
2,PIT,DEF,4,2,2,-,1,-,-,24,18.00
3,IND,DEF,5,1,1,-,1,-,-,21,15.00
4,DAL,DEF,4,2,2,-,-,-,-,15,13.00
5,LV,DEF,-,-,1,-,-,-,-,6,9.00
6,TB,DEF,3,2,-,-,-,-,-,23,7.00
7,KC,DEF,1,-,1,-,-,-,-,9,7.00
8,NO,DEF,5,1,-,-,-,-,-,23,7.00
9,SEA,DEF,3,1,1,-,-,-,-,27,7.00
10,ATL,DEF,3,1,-,-,-,-,-,17,6.00
11,DEN,DEF,2,2,-,-,-,-,-,30,5.00
12,LAR,DEF,1,-,2,-,-,-,-,22,5.00
13,CIN,DEF,1,1,-,-,-,-,-,20,4.00
14,BUF,DEF,2,-,1,-,-,-,-,21,4.00
15,NYG,DEF,2,-,1,-,-,-,-,25,4.00
16,CAR,DEF,2,1,-,-,-,-,-,25,4.00
17,BAL,DEF,2,-,1,-,-,-,-,22,4.00
18,CLE,DEF,2,-,-,-,-,-,-,16,3.00
19,LAC,DEF,2,1,-,-,-,-,-,31,3.00
20,NE,DEF,1,1,-,-,-,-,-,24,3.00
21,MIN,DEF,1,-,1,-,-,-,-,22,3.00
22,CHI,DEF,1,-,-,-,-,-,-,26,1.00
23,GB,DEF,1,-,-,-,-,-,-,28,0.00
24,TEN,DEF,-,-,-,-,-,-,-,31,-1.00
25,SF,DEF,2,-,-,-,-,-,-,37,-2.00
26,DET,DEF,2,-,-,-,-,-,-,35,-2.00
27,NYJ,DEF,-,-,-,-,-,-,-,35,-4.00
28,ARI,DEF,-,-,-,-,-,-,-,-,0.00
29,WSH,DEF,-,-,-,-,-,-,-,-,0.00
30,JAX,DEF,-,-,-,-,-,-,-,-,0.00
31,HOU,DEF,-,-,-,-,-,-,-,-,0.00
