,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,BAL,DEF,7,1,2,-,1,-,-,3,26.00
1,CLE,DEF,1,2,-,1,1,-,-,23,13.00
2,MIA,DEF,5,2,1,-,-,-,-,17,12.00
3,LAR,DEF,8,-,-,-,-,-,-,10,12.00
4,IND,DEF,1,2,-,-,-,-,1,24,11.00
5,NYG,DEF,2,1,1,-,1,-,-,31,11.00
6,DAL,DEF,2,-,1,-,1,-,-,28,9.00
7,HOU,DEF,4,-,2,-,-,-,-,14,9.00
8,PIT,DEF,5,2,-,-,-,-,-,29,8.00
9,TEN,DEF,1,2,1,-,-,-,-,16,8.00
10,ARI,DEF,3,-,-,-,-,-,-,10,7.00
11,SEA,DEF,3,1,1,-,-,-,-,26,7.00
12,CHI,DEF,3,-,1,-,-,-,-,19,6.00
13,TB,DEF,3,1,-,-,-,-,-,20,6.00
14,MIN,DEF,4,1,-,-,-,-,-,27,6.00
15,CAR,DEF,2,1,-,-,-,-,-,16,5.00
16,JAX,DEF,1,2,-,-,-,-,-,30,4.00
17,LV,DEF,3,1,-,-,-,-,-,32,4.00
18,CIN,DEF,1,1,-,-,-,-,-,21,3.00
19,LAC,DEF,2,1,-,-,-,-,-,30,3.00
20,NO,DEF,3,-,-,-,-,-,-,27,3.00
21,WSH,DEF,1,1,-,-,-,-,-,30,2.00
22,NYJ,DEF,1,1,-,-,-,-,-,30,2.00
23,ATL,DEF,-,-,-,-,-,-,-,23,0.00
24,KC,DEF,1,1,-,-,-,-,-,40,-1.00
25,PHI,DEF,1,-,1,-,-,-,-,38,-1.00
26,SF,DEF,2,-,-,-,-,-,-,43,-2.00
27,BUF,DEF,-,-,-,-,-,-,-,42,-4.00
28,DEN,DEF,-,-,-,-,-,-,-,-,0.00
29,DET,DEF,-,-,-,-,-,-,-,-,0.00
30,GB,DEF,-,-,-,-,-,-,-,-,0.00
31,NE,DEF,-,-,-,-,-,-,-,-,0.00
