,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
0,Darren Waller,TE,LV,-,-,-,-,-,13,200,2,-,-,-,,45.00
1,Corey Davis,WR,TEN,-,-,-,-,-,11,182,1,-,-,-,,35.20
2,Davante Adams,WR,GB,-,-,-,-,-,10,121,2,-,-,-,,34.10
3,Derek Carr,QB,LV,381,3,1,5,1,-,-,-,-,-,-,,31.74
4,Josh Allen,QB,BUF,375,4,-,11,-,-,-,-,-,-,-,,30.10
5,Baker Mayfield,QB,CLE,334,4,-,5,-,1,6,-,-,-,-,,29.46
6,Cole Beasley,WR,BUF,-,-,-,-,-,9,130,1,-,-,-,,28.00
7,Travis Kelce,TE,KC,-,-,-,-,-,8,136,1,-,-,-,,27.60
8,Ryan Tannehill,QB,TEN,389,3,1,-,-,-,-,-,-,-,1,,27.56
9,Justin Jefferson,WR,MIN,-,-,-,2,-,9,121,1,-,-,-,,27.30
10,David Montgomery,RB,CHI,-,-,-,72,2,4,39,-,-,-,-,,27.10
11,Matthew Stafford,QB,DET,402,3,1,-,-,-,-,-,-,-,-,,26.08
12,Lamar Jackson,QB,BAL,107,2,1,94,1,-,-,-,-,-,-,,25.68
13,Marvin Jones,WR,DET,-,-,-,-,-,8,116,1,-,-,-,,25.60
14,TY Hilton,WR,IND,-,-,-,-,-,8,110,1,-,-,-,,25.00
15,Logan Thomas,TE,WSH,-,-,-,-,-,9,98,1,-,-,-,,24.80
16,Jared Goff,QB,LAR,351,1,-,1,1,-,-,-,-,-,-,,24.14
17,Dalvin Cook,RB,MIN,-,-,-,120,-,6,59,-,-,-,-,,23.90
18,Mike Gesicki,TE,MIA,-,-,-,-,-,9,88,1,-,-,-,,23.80
19,Aaron Jones,RB,GB,-,-,-,130,1,3,18,-,-,-,-,,23.80
20,Taysom Hill,QB,NO,232,2,-,83,-,-,-,-,-,-,-,,23.58
21,Cam Newton,QB,NE,69,1,-,48,2,-,-,-,-,-,-,,23.56
22,Aaron Rodgers,QB,GB,295,3,-,-3,-,-,-,-,-,-,-,,23.50
23,James Robinson,RB,JAX,-,-,-,78,1,6,30,-,-,-,-,,22.80
24,Jonathan Taylor,RB,IND,-,-,-,91,-,3,44,1,-,-,-,,22.50
25,Keke Coutee,WR,HOU,-,-,-,-,-,8,141,-,-,-,-,,22.10
26,Jamison Crowder,WR,NYJ,-,-,-,-,-,5,47,2,-,-,-,,21.70
27,Michael Gallup,WR,DAL,-,-,-,-,-,7,86,1,-,-,-,,21.60
28,Rashard Higgins,WR,CLE,-,-,-,-,-,6,95,1,-,-,-,,21.50
29,Adam Thielen,WR,MIN,-,-,-,-,-,8,75,1,-,-,-,,21.50
30,Kirk Cousins,QB,MIN,305,3,1,12,-,-,-,-,-,-,-,,21.40
31,Diontae Johnson,WR,PIT,-,-,-,-,-,8,71,1,-,-,-,,21.10
32,Nick Mullens,QB,SF,316,3,2,-,-,-,-,-,-,-,-,,20.64
33,Brandon Aiyuk,WR,SF,-,-,-,-,-,5,95,1,-,-,-,,20.50
34,Jarvis Landry,WR,CLE,6,-,-,-,-,8,62,1,-,-,-,,20.44
35,Tim Patrick,WR,DEN,-,-,-,-,-,4,44,2,-,-,-,,20.40
