,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,CLE,DEF,5,2,1,1,1,-,-,17,20.00
1,CAR,DEF,5,-,1,-,-,-,-,0,17.00
2,PIT,DEF,2,4,-,-,-,-,-,3,17.00
3,NO,DEF,8,2,-,-,-,-,-,9,16.00
4,DEN,DEF,6,1,-,-,-,-,-,13,12.00
5,WSH,DEF,4,1,1,-,-,-,-,9,12.00
6,LAC,DEF,1,1,-,-,1,-,-,26,9.00
7,IND,DEF,1,1,3,-,-,-,-,31,8.00
8,PHI,DEF,3,-,1,-,-,-,-,14,6.00
9,NYJ,DEF,3,-,1,1,-,-,-,28,6.00
10,DET,DEF,1,2,-,-,-,-,-,20,6.00
11,CIN,DEF,2,1,-,-,-,-,-,20,5.00
12,DAL,DEF,2,-,2,-,-,-,-,28,5.00
13,MIA,DEF,-,1,1,-,-,-,-,20,5.00
14,ATL,DEF,3,-,1,-,-,-,-,24,5.00
15,LAR,DEF,1,2,-,-,-,-,-,24,5.00
16,SEA,DEF,3,-,-,1,-,-,-,21,5.00
17,TB,DEF,-,2,-,-,-,-,-,27,4.00
18,GB,DEF,1,1,1,-,-,-,-,34,4.00
19,ARI,DEF,3,-,-,-,-,-,-,26,3.00
20,BAL,DEF,2,1,-,-,-,-,-,30,3.00
21,HOU,DEF,2,-,-,-,-,-,-,20,3.00
22,TEN,DEF,1,1,-,-,-,-,-,24,3.00
23,JAX,DEF,-,1,-,-,-,-,-,27,2.00
24,MIN,DEF,1,1,-,-,-,-,-,31,2.00
25,KC,DEF,-,1,-,-,-,-,-,31,1.00
26,NE,DEF,-,-,-,-,-,-,-,27,0.00
27,LV,DEF,-,1,-,-,-,-,-,35,-2.00
28,SF,DEF,-,-,-,-,-,-,-,-,0.00
29,CHI,DEF,-,-,-,-,-,-,-,-,0.00
30,BUF,DEF,-,-,-,-,-,-,-,-,0.00
31,NYG,DEF,-,-,-,-,-,-,-,-,0.00
