,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,NO,DEF,3,3,-,-,-,-,-,3,16.00
1,BAL,DEF,-,1,1,-,1,-,-,10,14.00
2,TEN,DEF,3,-,2,-,1,-,-,17,14.00
3,NYG,DEF,2,3,2,-,-,-,-,20,13.00
4,BUF,DEF,5,2,2,-,-,-,-,34,12.00
5,MIN,DEF,2,3,-,-,-,-,-,20,9.00
6,MIA,DEF,1,-,1,-,1,-,-,31,8.00
7,PIT,DEF,2,1,1,-,-,-,-,19,7.00
8,GB,DEF,1,1,1,-,-,-,-,17,6.00
9,IND,DEF,2,-,1,-,-,-,-,18,5.00
10,WSH,DEF,5,-,-,-,-,-,-,23,5.00
11,CHI,DEF,3,-,-,-,-,-,-,18,4.00
12,JAX,DEF,2,-,1,-,-,-,-,27,4.00
13,LV,DEF,2,-,1,-,-,-,-,26,4.00
14,HOU,DEF,2,1,-,-,-,-,-,25,4.00
15,DEN,DEF,2,1,-,-,-,-,-,34,3.00
16,ATL,DEF,1,1,-,-,-,-,-,27,3.00
17,CAR,DEF,2,-,1,-,-,-,-,33,3.00
18,NE,DEF,1,1,-,-,-,-,-,27,3.00
19,SEA,DEF,7,-,-,-,-,-,-,44,3.00
20,ARI,DEF,3,-,-,-,-,-,-,28,2.00
21,LAC,DEF,1,-,1,-,-,-,-,31,2.00
22,TB,DEF,1,-,2,-,-,-,-,38,1.00
23,KC,DEF,2,-,-,-,-,-,-,31,1.00
24,SF,DEF,1,-,-,-,-,-,-,34,0.00
25,DAL,DEF,-,-,-,-,-,-,-,24,0.00
26,DET,DEF,1,-,-,-,-,-,-,34,0.00
27,NYJ,DEF,-,-,-,-,-,-,-,30,-1.00
28,CIN,DEF,-,-,-,-,-,-,-,-,0.00
29,CLE,DEF,-,-,-,-,-,-,-,-,0.00
30,PHI,DEF,-,-,-,-,-,-,-,-,0.00
31,LAR,DEF,-,-,-,-,-,-,-,-,0.00
