,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,LV,DEF,2,4,1,-,-,-,-,12,16.00
1,NO,DEF,2,2,2,-,-,-,-,13,14.00
2,LAR,DEF,6,2,1,-,-,-,-,16,13.00
3,CHI,DEF,1,1,1,-,-,-,1,19,12.00
4,PIT,DEF,4,-,2,-,-,-,-,10,12.00
5,JAX,DEF,1,1,1,-,-,-,1,24,11.00
6,MIN,DEF,2,1,1,-,-,-,-,13,10.00
7,IND,DEF,1,-,-,-,1,-,-,17,8.00
8,SF,DEF,3,-,2,-,-,-,-,27,7.00
9,BUF,DEF,3,1,1,-,-,-,-,32,6.00
10,CLE,DEF,2,-,-,-,-,-,-,7,6.00
11,GB,DEF,3,1,-,-,-,-,-,20,6.00
12,TB,DEF,3,1,-,-,-,-,-,23,5.00
13,NE,DEF,2,1,-,-,-,-,-,17,5.00
14,SEA,DEF,3,-,1,-,-,-,-,23,5.00
15,HOU,DEF,1,-,-,-,-,-,-,10,5.00
16,MIA,DEF,2,1,-,-,-,-,-,21,4.00
17,NYG,DEF,3,-,-,-,-,-,-,17,4.00
18,DET,DEF,2,-,1,-,-,-,-,27,4.00
19,ARI,DEF,-,2,-,-,-,-,-,30,3.00
20,PHI,DEF,3,-,-,-,-,-,-,27,3.00
21,LAC,DEF,-,-,1,-,-,-,-,29,1.00
22,BAL,DEF,1,-,-,-,-,-,-,23,1.00
23,WSH,DEF,1,-,-,-,-,-,-,30,0.00
24,TEN,DEF,1,-,-,-,-,-,-,34,0.00
25,CAR,DEF,1,-,1,-,-,-,-,46,-1.00
26,CIN,DEF,-,-,-,-,-,-,-,36,-4.00
27,DEN,DEF,-,-,-,-,-,-,-,37,-4.00
28,KC,DEF,-,-,-,-,-,-,-,-,0.00
29,DAL,DEF,-,-,-,-,-,-,-,-,0.00
30,ATL,DEF,-,-,-,-,-,-,-,-,0.00
31,NYJ,DEF,-,-,-,-,-,-,-,-,0.00
