,Name,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks),Salary
353,Rob Gronkowski,2.1,0.0,7.8,3.4,6.7,5.0,6.0,5000
354,Robby Anderson,22.4,15.4,8.0,13.9,15.5,15.0,12.5,6500
355,Robert Griffin III,0.3,0.0,0.0,-0.7,-0.1,-0.2,-0.4,6000
356,Robert Tonyan,0.0,9.5,13.5,30.8,0.0,17.9,22.2,6200
357,Rod Smith,0.0,0.0,0.0,0.0,0.0,,,4500
358,Ronald Jones,9.2,9.7,8.3,15.8,14.0,11.4,12.7,
359,Royce Freeman,1.7,2.0,4.5,2.2,0.0,2.6,3.4,4900
360,Russell Gage,15.9,13.6,3.6,3.0,2.6,7.7,3.1,5500
361,Ryan Finley,0.0,0.0,0.0,0.0,0.0,,,6000
362,Ryan Fitzpatrick,8.4,24.3,24.7,23.3,27.6,21.7,25.2,7400
363,Ryan Griffin,0.0,0.0,0.0,0.0,0.0,,,4100
364,Ryan Izzo,3.0,2.9,0.0,0.0,0.0,3.0,,4100
365,Ryan Nall,0.0,0.7,0.0,0.0,0.0,0.7,,4500
366,Ryan Tannehill,19.4,26.8,13.2,0.0,30.0,22.4,21.6,7300
367,Ryquell Armstead,0.0,0.0,0.0,0.0,0.0,,,4500
368,Salvon Ahmed,0.0,0.0,0.0,0.0,0.0,,,4500
369,Sam Darnold,12.2,11.9,9.7,23.6,0.0,14.4,16.6,6800
370,Samaje Perine,0.0,0.0,0.0,0.0,0.0,,,4500
371,Saquon Barkley,9.6,2.8,0.0,0.0,0.0,6.2,,4500
372,Scott Miller,10.4,2.2,9.8,16.8,0.0,9.8,13.3,
373,Sean Mannion,0.0,0.0,0.0,0.0,0.0,,,6000
374,Seth Roberts,1.0,0.0,2.6,1.5,0.0,1.7,2.0,4500
375,Sony Michel,9.7,1.9,15.0,0.0,0.0,8.9,15.0,5000
376,Stephen Carlson,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4000
377,Sterling Shepard,7.7,4.5,0.0,0.0,0.0,6.1,,5000
378,T.J. Hockenson,14.1,8.2,7.3,9.9,0.0,9.9,8.6,5700
379,T.J. Logan,0.0,0.0,0.0,0.0,0.0,,,4500
380,T.Y. Hilton,7.3,4.3,6.7,4.4,9.9,6.5,7.0,5800
381,Tajae Sharpe,0.0,0.0,0.0,0.0,0.0,,,4500
382,Tanner Hudson,0.0,0.0,0.0,0.0,1.4,1.4,1.4,4000
383,Tarik Cohen,5.7,3.2,5.6,0.0,0.0,4.8,5.6,4500
384,Taywan Taylor,0.0,0.0,0.0,0.0,0.0,,,4500
385,Ted Ginn,0.0,0.0,3.4,2.1,0.0,2.8,2.8,
386,Teddy Bridgewater,19.4,12.7,14.6,27.2,20.8,18.9,20.9,6900
387,Tee Higgins,0.0,5.0,18.5,11.0,8.2,10.7,12.6,5500
388,Tim Boyle,-0.2,-0.1,0.0,-0.1,0.0,-0.1,-0.1,6000
389,Tim Patrick,4.9,3.4,12.3,20.3,0.0,10.2,16.3,5400
390,Todd Gurley,12.7,6.1,14.7,18.8,23.0,15.1,18.8,
391,Tom Brady,22.5,11.7,23.9,33.5,14.1,21.1,23.8,7500
392,Tommy Hudson,0.0,0.0,0.0,0.0,0.0,,,4000
393,Trace McSorley,0.0,0.0,0.0,0.0,0.0,,,6000
394,Travis Fulgham,0.0,0.0,0.0,12.7,26.2,19.4,19.4,5300
395,Trayveon Williams,0.0,0.0,0.0,0.0,0.0,,,4500
396,Trenton Cannon,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,4500
397,Trevon Wesco,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4100
398,Trey Burton,0.0,0.0,0.0,2.6,5.8,4.2,4.2,4700
399,Tua Tagovailoa,0.0,0.0,0.0,0.0,0.0,,,6200
400,Ty Johnson,0.0,0.0,0.0,0.0,0.0,,,4500
401,Tyler Boyd,5.3,16.7,17.5,12.9,6.2,11.7,12.2,6100
402,Tyler Conklin,0.0,0.0,0.0,0.0,0.0,,,4000
403,Tyler Davis,0.0,0.0,0.0,0.0,0.0,,,4000
404,Tyler Eifert,1.3,11.1,2.1,3.2,3.1,4.2,2.8,4500
405,Tyler Ervin,4.9,0.9,2.3,1.3,0.0,2.4,1.8,4700
406,Tyler Johnson,0.0,0.0,0.0,0.0,8.1,8.1,8.1,5000
407,Tyler Simmons,0.0,0.0,0.0,0.0,0.0,,,4500
408,Tyrie Cleveland,1.2,0.0,0.0,0.0,0.0,1.2,,4500
409,Vance McDonald,0.8,0.8,5.0,0.0,0.9,1.9,3.0,4200
410,Vyncint Smith,0.0,0.0,0.0,0.0,0.0,,,4500
411,Wayne Gallman,1.9,0.0,2.4,4.5,3.4,3.1,3.4,4800
412,Will Fuller,15.2,0.0,13.4,19.8,13.8,15.6,15.7,
413,Will Grier,0.0,0.0,0.0,0.0,0.0,,,6000
414,Willie Snead,14.4,3.9,1.4,3.0,0.0,5.7,2.2,
415,Zach Ertz,9.3,6.7,10.5,4.9,1.1,6.5,5.5,6000
416,Zach Gentry,0.0,0.0,0.0,0.0,0.0,,,4000
417,Zach Pascal,2.8,9.4,4.4,7.3,2.5,5.3,4.7,5100
