,Name,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks),Salary
70,Chris Conley,1.1,6.8,4.9,5.9,6.8,5.1,5.9,5200
71,Chris Godwin,10.9,0.0,14.9,0.0,0.0,12.9,14.9,7700
72,Chris Herndon,6.7,1.0,3.6,1.6,3.4,3.3,2.9,
73,Chris Hogan,0.5,10.5,0.0,4.3,3.5,4.7,3.9,5100
74,Chris Manhertz,0.9,1.3,0.0,2.2,0.0,1.5,2.2,4100
75,Chris Moore,0.0,0.0,0.0,0.0,0.0,,,4500
76,Chris Thompson,0.0,0.0,0.0,0.0,0.0,,,4500
77,Christian Blake,0.0,0.0,0.0,6.2,0.0,6.2,6.2,4800
78,Christian McCaffrey,27.0,22.8,0.0,0.0,0.0,24.9,,10000
79,Cody Core,0.0,0.0,0.0,0.0,0.0,,,4500
80,Cody Hollister,0.0,0.0,0.0,0.0,1.7,1.7,1.7,4500
81,Cole Kmet,0.0,1.7,0.0,0.0,0.0,1.7,,4100
82,Colin Thompson,0.0,0.0,0.0,0.0,0.0,,,
83,Collin Johnson,1.9,0.0,0.8,0.0,10.5,4.4,5.6,4700
84,Colt McCoy,0.0,0.0,0.0,0.0,0.0,,,6000
85,Cooper Rush,0.0,0.0,0.0,0.0,0.0,,,6000
86,Cordarrelle Patterson,3.6,4.3,1.3,1.0,6.0,3.2,2.8,4700
87,Corey Clement,3.1,0.0,0.8,0.3,0.0,1.4,0.6,4500
88,Corey Davis,13.6,11.1,9.4,0.0,0.0,11.4,9.4,5400
89,Courtland Sutton,0.0,8.1,0.0,0.0,0.0,8.1,,4500
90,Craig Reynolds,0.0,0.0,0.0,0.0,0.0,,,4500
91,Cullen Gillaspia,0.0,0.0,1.1,0.0,0.0,1.1,1.1,4500
92,Curtis Samuel,6.8,4.9,7.2,6.3,8.9,6.8,7.5,5100
93,Cyril Grayson,0.0,0.0,0.0,0.0,0.0,,,
94,D'Andre Swift,9.8,9.7,2.4,13.2,0.0,8.8,7.8,5400
95,D'Ernest Johnson,0.5,0.0,0.0,9.5,4.1,4.7,6.8,5100
96,D.J. Chark,10.0,10.4,0.0,25.5,3.1,12.2,14.3,
97,D.J. Moore,7.4,16.0,7.5,6.9,17.3,11.0,10.6,6800
98,Da'Mari Scott,0.0,0.0,0.0,0.0,0.0,,,4500
99,DaeSean Hamilton,2.3,1.0,0.0,1.4,0.0,1.6,1.4,4700
100,Dallas Goedert,20.1,5.0,1.2,0.0,0.0,8.8,1.2,5500
101,Dalton Keene,0.0,0.0,0.0,0.0,0.0,,,4000
102,Dalvin Cook,21.3,16.1,26.9,27.6,17.4,21.9,24.0,9500
103,Damien Harris,0.0,0.0,0.0,10.0,0.0,10.0,10.0,5600
104,Damiere Byrd,0.0,10.2,4.2,10.5,0.0,8.3,7.4,5100
105,Damion Ratley,0.0,0.0,3.4,4.9,0.0,4.2,4.2,4700
106,Dan Chisena,0.0,0.0,0.0,0.0,0.0,,,4500
107,Daniel Brown,0.0,0.0,0.0,0.0,0.0,,,4000
108,Daniel Helm,0.0,0.0,0.0,0.0,0.0,,,4000
109,Daniel Jones,19.4,10.7,11.1,11.1,10.2,12.5,10.8,6700
110,Danny Amendola,10.6,3.1,2.3,6.7,0.0,5.7,4.5,4900
111,Danny Vitale,0.0,0.0,0.0,0.0,0.0,,,
112,Dare Ogunbowale,0.0,0.0,0.0,0.0,0.0,,,4500
113,Darion Clark,0.0,0.0,0.0,0.0,0.0,,,
114,Darius Slayton,25.2,4.8,6.8,6.3,16.9,12.0,10.0,6000
115,Darnell Mooney,5.3,11.1,2.9,7.4,2.5,5.8,4.3,5000
116,Darren Fells,2.9,9.3,0.0,3.1,12.7,7.0,7.9,5100
117,Darrius Shepherd,0.0,0.0,0.0,3.1,0.0,3.1,3.1,4500
118,Darrynton Evans,0.0,0.0,0.9,0.0,1.2,1.0,1.0,5000
119,Daurice Fountain,0.0,0.0,3.3,0.0,0.0,3.3,3.3,
120,Davante Adams,34.6,5.1,0.0,0.0,0.0,19.8,,9000
121,David Johnson,18.4,6.0,11.6,10.2,11.3,11.5,11.0,6400
122,David Montgomery,7.9,20.2,6.4,9.2,15.4,11.8,10.3,5900
123,David Njoku,12.5,0.0,0.0,0.0,1.1,6.8,1.1,5000
124,David Sills,0.0,0.0,0.0,0.0,0.0,,,
125,De'Anthony Thomas,0.0,0.0,0.0,0.0,0.0,,,4500
126,DeAndre Carter,1.3,0.0,0.0,0.0,0.0,1.3,,4500
127,DeAndrew White,0.0,0.0,0.0,0.0,0.0,,,4500
128,DeSean Jackson,5.6,9.4,2.1,0.0,0.0,5.7,2.1,5300
129,DeVante Parker,6.7,13.8,9.4,16.0,12.0,11.6,12.5,6400
130,Dede Westbrook,0.0,0.0,0.9,0.0,0.0,0.9,0.9,4500
131,Demetrius Harris,0.0,0.0,3.0,1.1,1.4,1.8,1.8,4200
132,Denzel Mims,0.0,0.0,0.0,0.0,0.0,,,4500
133,Derek Watt,0.0,0.0,0.0,0.0,0.0,,,4500
134,Derrick Henry,14.6,8.4,26.0,0.0,18.8,17.0,22.4,9000
135,Deshaun Watson,21.8,15.7,18.1,20.9,26.9,20.7,22.0,8200
136,Devin Asiasi,0.0,0.0,0.0,0.0,0.0,,,4000
137,Devin Duvernay,1.7,2.4,7.7,0.9,6.9,3.9,5.2,4800
138,Devin Funchess,0.0,0.0,0.0,0.0,0.0,,,4500
139,Devine Ozigbo,0.0,0.0,0.0,0.0,0.0,,,4500
140,Devonta Freeman,0.0,0.0,1.0,8.8,15.7,8.5,8.5,5600
141,Dezmon Patmon,0.0,0.0,0.0,0.0,0.0,,,4500
142,Dion Lewis,0.1,13.6,1.5,2.8,1.1,3.8,1.8,4800
143,Diontae Johnson,8.7,19.2,0.9,0.0,0.3,7.3,0.6,5700
144,Diontae Spencer,0.0,0.0,1.2,0.0,0.0,1.2,1.2,4500
145,Donovan Peoples-Jones,0.0,0.0,0.0,0.0,0.0,,,4500
146,Dontrell Hilliard,0.0,0.0,0.0,2.6,0.0,2.6,2.6,4700
147,Drew Lock,13.1,0.8,0.0,0.0,0.0,7.0,,6700
148,Drew Sample,1.2,8.0,0.6,6.2,3.2,3.8,3.3,4700
149,Duke Johnson,1.4,0.0,0.0,6.0,2.4,3.3,4.2,
150,Durham Smythe,0.0,0.0,1.2,4.0,0.0,2.6,2.6,4100
151,Dwayne Harris,0.0,0.0,0.0,0.0,0.0,,,4500
152,Elijhaa Penny,0.0,0.0,0.0,0.0,0.3,0.3,0.3,4500
153,Equanimeous St. Brown,0.0,0.0,0.0,0.0,0.0,,,4500
154,Eric Ebron,2.3,5.8,13.7,0.0,6.8,7.2,10.2,5200
155,Eric Saubert,0.0,0.0,0.0,0.0,0.0,,,4000
156,Eric Tomlinson,0.0,0.0,0.0,0.0,0.0,,,4000
157,Ethan Wolf,0.0,0.0,0.0,0.0,0.0,,,
158,Evan Engram,1.9,9.5,3.7,6.5,9.0,6.1,6.4,5600
159,Frank Gore,2.4,6.3,6.7,4.1,3.0,4.5,4.6,5000
160,Gardner Minshew,20.8,25.5,12.2,21.9,21.8,20.4,18.6,
161,Geoff Swaim,0.0,0.0,0.0,0.0,0.0,,,4000
162,Geronimo Allison,0.0,0.0,0.0,0.0,0.0,,,4500
163,Giovani Bernard,4.8,5.0,7.0,1.9,0.9,3.9,3.3,4600
164,Golden Tate,0.0,7.2,6.1,4.0,6.2,5.9,5.4,5400
165,Greg Ward,5.6,1.0,16.6,5.8,10.6,7.9,11.0,5300
166,Gunner Olszewski,0.0,0.0,0.0,1.6,0.0,1.6,1.6,4500
167,Gus Edwards,1.7,7.3,3.9,3.8,2.5,3.8,3.4,4600
168,Hakeem Butler,0.0,0.0,0.0,0.0,0.0,,,4500
169,Harrison Bryant,1.0,1.9,6.8,5.7,0.0,3.8,6.2,4200
170,Hayden Hurst,5.3,15.7,6.6,7.1,1.8,7.3,5.2,5400
171,Hunter Bryant,0.0,0.0,0.0,0.0,0.0,,,4000
172,Ian Thomas,2.6,0.0,1.4,7.5,0.0,3.8,4.4,4600
173,Irv Smith,1.6,0.8,0.0,0.0,8.4,3.6,8.4,
174,Isaiah Coulter,0.0,0.0,0.0,0.0,0.0,,,4500
175,Isaiah Ford,2.3,11.1,2.4,6.8,3.3,5.2,4.2,4900
176,Ito Smith,2.1,2.0,0.0,4.2,0.6,2.2,2.4,4600
177,J.J. Arcega-Whiteside,0.0,0.0,0.0,0.0,4.2,4.2,4.2,
178,J.J. Taylor,3.7,-0.1,4.3,0.0,0.0,2.6,4.3,4700
179,J.K. Dobbins,14.2,6.6,6.4,2.2,7.0,7.3,5.2,5100
180,J.P. Holtz,0.0,0.0,0.0,0.0,0.0,,,4000
181,Jace Sternberger,0.0,0.0,5.1,0.0,0.0,5.1,5.1,4300
182,Jack Doyle,6.4,0.0,0.0,1.7,0.0,4.0,1.7,4900
183,Jacob Breeland,0.0,0.0,0.0,0.0,0.0,,,4000
184,Jacob Eason,0.0,0.0,0.0,0.0,0.0,,,6000
185,Jacoby Brissett,0.0,0.0,0.7,0.0,0.0,0.7,0.7,6000
186,Jaeden Graham,0.0,0.0,0.0,0.0,1.2,1.2,1.2,4000
187,Jake Butt,0.5,0.0,1.0,0.0,0.0,0.8,1.0,4400
188,Jake Luton,0.0,0.0,0.0,0.0,0.0,,,6000
189,Jake Rudock,0.0,0.0,0.0,0.0,0.0,,,
190,Jakeem Grant,4.0,0.7,5.3,5.1,-0.1,3.0,3.4,4700
191,Jakob Johnson,0.0,6.6,1.1,0.0,0.0,3.8,1.1,4500
192,Jakobi Meyers,0.0,1.2,0.0,0.0,0.0,1.2,,4500
193,Jalen Hurts,0.0,0.0,0.8,1.8,0.7,1.1,1.1,6000
194,Jalen Reagor,6.0,6.1,0.0,0.0,0.0,6.0,,4900
195,Jamaal Williams,6.2,8.3,2.2,14.5,0.0,7.8,8.4,5200
196,Jamal Agnew,0.0,0.5,3.2,0.8,0.0,1.5,2.0,
197,James Conner,2.7,19.1,22.9,0.0,13.8,14.6,18.4,7100
198,James Morgan,0.0,0.0,0.0,0.0,0.0,,,6000
199,James O'Shaughnessy,0.5,6.0,4.4,3.1,3.5,3.5,3.7,4000
200,James Proche,0.0,0.0,0.0,0.0,0.0,,,4500
201,James Robinson,9.5,19.5,27.9,12.7,9.5,15.8,16.7,6500
202,James Washington,10.4,3.7,6.1,0.0,4.0,6.1,5.0,4800
203,James White,6.7,0.0,0.0,9.4,0.0,8.0,9.4,5200
204,Jamison Crowder,21.0,0.0,0.0,13.9,21.6,18.8,17.8,6600
205,Jarrett Stidham,0.0,0.0,0.0,4.7,0.0,4.7,4.7,6900
206,Jarvis Landry,8.6,6.1,5.6,12.8,10.8,8.8,9.7,5600
207,Jason Huntley,0.1,0.0,0.0,0.0,0.0,0.1,,4500
208,Javon Wims,6.6,2.7,0.0,0.0,0.0,4.6,,4600
209,Jaydon Mickens,0.0,0.0,0.0,0.0,3.2,3.2,3.2,
210,Jaylen Samuels,0.8,0.9,0.1,0.0,0.0,0.6,0.1,4500
211,Jeff Driskel,0.0,19.7,11.4,0.9,0.0,10.7,6.2,6600
212,Jeff Smith,0.0,0.0,0.0,11.6,3.8,7.7,7.7,4900
213,Jerell Adams,0.0,0.0,0.0,0.0,0.0,,,
214,Jeremy McNichols,0.0,0.7,1.0,0.0,3.6,1.8,2.3,4500
215,Jerry Jeudy,7.6,8.2,8.0,13.1,0.0,9.2,10.6,5700
216,Jesse James,0.0,0.0,10.3,3.6,0.0,7.0,7.0,4600
217,Jimmy Graham,10.0,2.3,21.0,5.3,10.8,9.9,12.4,5400
218,JoJo Natson,0.0,0.0,0.3,0.0,0.0,0.3,0.3,4500
219,Joe Burrow,17.3,26.5,20.4,16.1,7.3,17.5,14.6,7100
220,Joe Flacco,0.0,0.0,0.0,0.6,13.8,7.2,7.2,6500
221,Joe Mixon,7.6,10.6,7.5,39.1,12.4,15.4,19.7,6900
222,John Hightower,0.3,0.0,2.9,3.2,4.8,2.8,3.6,4900
223,John Hurst,0.0,0.0,0.0,0.0,0.0,,,4500
224,John Lovett,0.0,0.0,0.0,0.0,0.0,,,
225,John Ross,2.7,0.0,0.0,0.0,0.0,2.7,,4800
226,Johnny Holton,0.0,0.0,0.0,0.0,0.0,,,4500
227,Jonathan Taylor,11.9,18.0,12.7,8.4,14.4,13.1,11.8,7300
228,Jonathan Williams,0.0,0.0,0.0,0.0,0.0,,,4500
229,Jonnu Smith,11.6,22.4,8.6,0.0,18.5,15.3,13.6,5800
230,Jordan Akins,10.9,9.0,3.8,6.1,0.0,7.4,4.9,4900
231,Jordan Franks,0.0,0.0,0.0,0.0,0.0,,,4000
232,Jordan Howard,6.7,6.4,6.1,0.4,0.0,4.9,3.2,4700
233,Jordan Love,0.0,0.0,0.0,0.0,0.0,,,6000
234,Jordan Wilkins,0.0,4.0,5.0,3.6,0.1,3.2,2.9,4600
235,Josh Doctson,0.0,0.0,0.0,0.0,0.0,,,4500
236,Josh Oliver,0.0,0.0,0.0,0.0,0.0,,,4000
237,Josh Perkins,0.0,0.0,0.0,0.0,0.0,,,
238,Joshua Dobbs,0.0,0.0,0.0,0.0,0.0,,,6000
239,Josiah Deguara,1.7,0.0,0.0,0.0,0.0,1.7,,4000
240,JuJu Smith-Schuster,21.9,8.3,14.3,0.0,4.8,12.3,9.6,7100
241,Julian Edelman,10.5,21.9,3.2,5.0,0.0,10.2,4.1,6200
242,Julio Jones,20.2,3.4,0.0,5.2,0.0,9.6,5.2,8200
243,Justice Hill,0.0,0.0,0.0,0.0,0.0,,,4500
244,Justin Blackmon,0.0,0.0,0.0,0.0,0.0,,,
245,Justin Jefferson,3.6,5.9,27.0,12.3,3.8,10.5,14.4,5900
246,Justin Watson,1.1,5.8,0.0,6.0,0.0,4.3,6.0,4600
247,K.J. Hamler,0.0,7.2,4.3,0.0,0.0,5.8,4.3,
248,K.J. Osborn,0.0,0.0,0.0,0.0,0.0,,,4500
249,Kaden Smith,2.7,0.9,1.8,1.5,1.2,1.6,1.5,4100
250,Kahale Warring,0.0,0.0,0.0,0.0,0.0,,,4000
251,Kalen Ballage,0.0,2.7,7.7,2.1,0.0,4.2,4.9,
252,Kalif Raymond,0.0,0.0,13.0,0.0,3.6,8.3,8.3,5000
253,Kareem Hunt,10.1,23.1,13.4,19.1,16.8,16.5,16.4,7000
254,Ke'Shawn Vaughn,0.0,0.0,0.0,9.6,1.5,5.6,5.6,4900
255,Keelan Cole,13.2,14.8,6.3,6.6,9.7,10.1,7.5,5600
256,Keith Kirkwood,0.0,0.0,0.0,0.0,0.0,,,4500
