,Unnamed: 0,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks)
360,Russell Gage,15.9,13.6,3.6,3.0,2.6,7.7,3.1
361,Ryan Finley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,Ryan Fitzpatrick,8.4,24.3,24.7,23.3,27.6,21.7,25.2
363,Ryan Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,Ryan Izzo,3.0,2.9,0.0,0.0,0.0,1.2,0.0
365,Ryan Nall,0.0,0.7,0.0,0.0,0.0,0.1,0.0
366,Ryan Tannehill,19.4,26.8,13.2,0.0,30.0,17.9,14.4
367,Ryquell Armstead,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,Salvon Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,Sam Darnold,12.2,11.9,9.7,23.6,0.0,11.5,11.1
370,Samaje Perine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,Saquon Barkley,9.6,2.8,0.0,0.0,0.0,2.5,0.0
372,Scott Miller,10.4,2.2,9.8,16.8,0.0,7.8,8.9
373,Sean Mannion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,Seth Roberts,1.0,0.0,2.6,1.5,0.0,1.0,1.4
375,Sony Michel,9.7,1.9,15.0,0.0,0.0,5.3,5.0
376,Stephen Carlson,0.0,0.0,0.0,2.0,0.0,0.4,0.7
377,Sterling Shepard,7.7,4.5,0.0,0.0,0.0,2.4,0.0
378,T.J. Hockenson,14.1,8.2,7.3,9.9,0.0,7.9,5.7
379,T.J. Logan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,T.Y. Hilton,7.3,4.3,6.7,4.4,9.9,6.5,7.0
381,Tajae Sharpe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,Tanner Hudson,0.0,0.0,0.0,0.0,1.4,0.3,0.5
383,Tarik Cohen,5.7,3.2,5.6,0.0,0.0,2.9,1.9
384,Taywan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,Ted Ginn,0.0,0.0,3.4,2.1,0.0,1.1,1.8
386,Teddy Bridgewater,19.4,12.7,14.6,27.2,20.8,18.9,20.9
387,Tee Higgins,0.0,5.0,18.5,11.0,8.2,8.5,12.6
388,Tim Boyle,-0.2,-0.1,0.0,-0.1,0.0,-0.1,-0.0
389,Tim Patrick,4.9,3.4,12.3,20.3,0.0,8.2,10.9
390,Todd Gurley,12.7,6.1,14.7,18.8,23.0,15.1,18.8
391,Tom Brady,22.5,11.7,23.9,33.5,14.1,21.1,23.8
392,Tommy Hudson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Trace McSorley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Travis Fulgham,0.0,0.0,0.0,12.7,26.2,7.8,13.0
395,Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Trenton Cannon,0.0,0.0,0.0,0.0,-0.1,-0.0,-0.0
397,Trevon Wesco,0.0,0.0,0.0,0.0,1.0,0.2,0.3
398,Trey Burton,0.0,0.0,0.0,2.6,5.8,1.7,2.8
399,Tua Tagovailoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Ty Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Tyler Boyd,5.3,16.7,17.5,12.9,6.2,11.7,12.2
402,Tyler Conklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Tyler Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Tyler Eifert,1.3,11.1,2.1,3.2,3.1,4.2,2.8
405,Tyler Ervin,4.9,0.9,2.3,1.3,0.0,1.9,1.2
406,Tyler Johnson,0.0,0.0,0.0,0.0,8.1,1.6,2.7
407,Tyler Simmons,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Tyrie Cleveland,1.2,0.0,0.0,0.0,0.0,0.2,0.0
409,Vance McDonald,0.8,0.8,5.0,0.0,0.9,1.5,2.0
410,Vyncint Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,Wayne Gallman,1.9,0.0,2.4,4.5,3.4,2.4,3.4
412,Will Fuller,15.2,0.0,13.4,19.8,13.8,12.4,15.7
413,Will Grier,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,Willie Snead,14.4,3.9,1.4,3.0,0.0,4.5,1.5
415,Zach Ertz,9.3,6.7,10.5,4.9,1.1,6.5,5.5
416,Zach Gentry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,Zach Pascal,2.8,9.4,4.4,7.3,2.5,5.3,4.7
