,Unnamed: 0,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks)
82,Colin Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Collin Johnson,1.9,0.0,0.8,0.0,10.5,2.6,3.8
84,Colt McCoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Cooper Rush,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Cordarrelle Patterson,3.6,4.3,1.3,1.0,6.0,3.2,2.8
87,Corey Clement,3.1,0.0,0.8,0.3,0.0,0.8,0.4
88,Corey Davis,13.6,11.1,9.4,0.0,0.0,6.8,3.1
89,Courtland Sutton,0.0,8.1,0.0,0.0,0.0,1.6,0.0
90,Craig Reynolds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Cullen Gillaspia,0.0,0.0,1.1,0.0,0.0,0.2,0.4
92,Curtis Samuel,6.8,4.9,7.2,6.3,8.9,6.8,7.5
93,Cyril Grayson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,D'Andre Swift,9.8,9.7,2.4,13.2,0.0,7.0,5.2
95,D'Ernest Johnson,0.5,0.0,0.0,9.5,4.1,2.8,4.5
96,D.J. Chark,10.0,10.4,0.0,25.5,3.1,9.8,9.5
97,D.J. Moore,7.4,16.0,7.5,6.9,17.3,11.0,10.6
98,Da'Mari Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,DaeSean Hamilton,2.3,1.0,0.0,1.4,0.0,0.9,0.5
100,Dallas Goedert,20.1,5.0,1.2,0.0,0.0,5.3,0.4
101,Dalton Keene,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Dalvin Cook,21.3,16.1,26.9,27.6,17.4,21.9,24.0
103,Damien Harris,0.0,0.0,0.0,10.0,0.0,2.0,3.3
104,Damiere Byrd,0.0,10.2,4.2,10.5,0.0,5.0,4.9
105,Damion Ratley,0.0,0.0,3.4,4.9,0.0,1.7,2.8
106,Dan Chisena,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Daniel Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Daniel Helm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Daniel Jones,19.4,10.7,11.1,11.1,10.2,12.5,10.8
110,Danny Amendola,10.6,3.1,2.3,6.7,0.0,4.5,3.0
111,Danny Vitale,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Dare Ogunbowale,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Darion Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Darius Slayton,25.2,4.8,6.8,6.3,16.9,12.0,10.0
115,Darnell Mooney,5.3,11.1,2.9,7.4,2.5,5.8,4.3
116,Darren Fells,2.9,9.3,0.0,3.1,12.7,5.6,5.3
117,Darrius Shepherd,0.0,0.0,0.0,3.1,0.0,0.6,1.0
118,Darrynton Evans,0.0,0.0,0.9,0.0,1.2,0.4,0.7
119,Daurice Fountain,0.0,0.0,3.3,0.0,0.0,0.7,1.1
120,Davante Adams,34.6,5.1,0.0,0.0,0.0,7.9,0.0
121,David Johnson,18.4,6.0,11.6,10.2,11.3,11.5,11.0
122,David Montgomery,7.9,20.2,6.4,9.2,15.4,11.8,10.3
123,David Njoku,12.5,0.0,0.0,0.0,1.1,2.7,0.4
124,David Sills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,De'Anthony Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,DeAndre Carter,1.3,0.0,0.0,0.0,0.0,0.3,0.0
127,DeAndrew White,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,DeSean Jackson,5.6,9.4,2.1,0.0,0.0,3.4,0.7
129,DeVante Parker,6.7,13.8,9.4,16.0,12.0,11.6,12.5
130,Dede Westbrook,0.0,0.0,0.9,0.0,0.0,0.2,0.3
131,Demetrius Harris,0.0,0.0,3.0,1.1,1.4,1.1,1.8
132,Denzel Mims,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Derek Watt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Derrick Henry,14.6,8.4,26.0,0.0,18.8,13.6,14.9
135,Deshaun Watson,21.8,15.7,18.1,20.9,26.9,20.7,22.0
136,Devin Asiasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Devin Duvernay,1.7,2.4,7.7,0.9,6.9,3.9,5.2
138,Devin Funchess,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Devine Ozigbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Devonta Freeman,0.0,0.0,1.0,8.8,15.7,5.1,8.5
141,Dezmon Patmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Dion Lewis,0.1,13.6,1.5,2.8,1.1,3.8,1.8
143,Diontae Johnson,8.7,19.2,0.9,0.0,0.3,5.8,0.4
144,Diontae Spencer,0.0,0.0,1.2,0.0,0.0,0.2,0.4
145,Donovan Peoples-Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Dontrell Hilliard,0.0,0.0,0.0,2.6,0.0,0.5,0.9
147,Drew Lock,13.1,0.8,0.0,0.0,0.0,2.8,0.0
148,Drew Sample,1.2,8.0,0.6,6.2,3.2,3.8,3.3
149,Duke Johnson,1.4,0.0,0.0,6.0,2.4,2.0,2.8
150,Durham Smythe,0.0,0.0,1.2,4.0,0.0,1.0,1.7
151,Dwayne Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Elijhaa Penny,0.0,0.0,0.0,0.0,0.3,0.1,0.1
153,Equanimeous St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Eric Ebron,2.3,5.8,13.7,0.0,6.8,5.7,6.8
155,Eric Saubert,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Eric Tomlinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Ethan Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Evan Engram,1.9,9.5,3.7,6.5,9.0,6.1,6.4
159,Frank Gore,2.4,6.3,6.7,4.1,3.0,4.5,4.6
160,Gardner Minshew,20.8,25.5,12.2,21.9,21.8,20.4,18.6
161,Geoff Swaim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Geronimo Allison,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Giovani Bernard,4.8,5.0,7.0,1.9,0.9,3.9,3.3
164,Golden Tate,0.0,7.2,6.1,4.0,6.2,4.7,5.4
165,Greg Ward,5.6,1.0,16.6,5.8,10.6,7.9,11.0
166,Gunner Olszewski,0.0,0.0,0.0,1.6,0.0,0.3,0.5
167,Gus Edwards,1.7,7.3,3.9,3.8,2.5,3.8,3.4
168,Hakeem Butler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Harrison Bryant,1.0,1.9,6.8,5.7,0.0,3.1,4.2
170,Hayden Hurst,5.3,15.7,6.6,7.1,1.8,7.3,5.2
171,Hunter Bryant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Ian Thomas,2.6,0.0,1.4,7.5,0.0,2.3,3.0
173,Irv Smith,1.6,0.8,0.0,0.0,8.4,2.2,2.8
174,Isaiah Coulter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Isaiah Ford,2.3,11.1,2.4,6.8,3.3,5.2,4.2
176,Ito Smith,2.1,2.0,0.0,4.2,0.6,1.8,1.6
177,J.J. Arcega-Whiteside,0.0,0.0,0.0,0.0,4.2,0.8,1.4
178,J.J. Taylor,3.7,-0.1,4.3,0.0,0.0,1.6,1.4
179,J.K. Dobbins,14.2,6.6,6.4,2.2,7.0,7.3,5.2
180,J.P. Holtz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Jace Sternberger,0.0,0.0,5.1,0.0,0.0,1.0,1.7
182,Jack Doyle,6.4,0.0,0.0,1.7,0.0,1.6,0.6
183,Jacob Breeland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Jacob Eason,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Jacoby Brissett,0.0,0.0,0.7,0.0,0.0,0.1,0.2
186,Jaeden Graham,0.0,0.0,0.0,0.0,1.2,0.2,0.4
187,Jake Butt,0.5,0.0,1.0,0.0,0.0,0.3,0.3
188,Jake Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Jake Rudock,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Jakeem Grant,4.0,0.7,5.3,5.1,-0.1,3.0,3.4
191,Jakob Johnson,0.0,6.6,1.1,0.0,0.0,1.5,0.4
192,Jakobi Meyers,0.0,1.2,0.0,0.0,0.0,0.2,0.0
193,Jalen Hurts,0.0,0.0,0.8,1.8,0.7,0.7,1.1
194,Jalen Reagor,6.0,6.1,0.0,0.0,0.0,2.4,0.0
195,Jamaal Williams,6.2,8.3,2.2,14.5,0.0,6.2,5.6
196,Jamal Agnew,0.0,0.5,3.2,0.8,0.0,0.9,1.3
197,James Conner,2.7,19.1,22.9,0.0,13.8,11.7,12.2
198,James Morgan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,James O'Shaughnessy,0.5,6.0,4.4,3.1,3.5,3.5,3.7
200,James Proche,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,James Robinson,9.5,19.5,27.9,12.7,9.5,15.8,16.7
202,James Washington,10.4,3.7,6.1,0.0,4.0,4.8,3.4
203,James White,6.7,0.0,0.0,9.4,0.0,3.2,3.1
204,Jamison Crowder,21.0,0.0,0.0,13.9,21.6,11.3,11.8
205,Jarrett Stidham,0.0,0.0,0.0,4.7,0.0,0.9,1.6
206,Jarvis Landry,8.6,6.1,5.6,12.8,10.8,8.8,9.7
207,Jason Huntley,0.1,0.0,0.0,0.0,0.0,0.0,0.0
208,Javon Wims,6.6,2.7,0.0,0.0,0.0,1.9,0.0
209,Jaydon Mickens,0.0,0.0,0.0,0.0,3.2,0.6,1.1
210,Jaylen Samuels,0.8,0.9,0.1,0.0,0.0,0.4,0.0
211,Jeff Driskel,0.0,19.7,11.4,0.9,0.0,6.4,4.1
212,Jeff Smith,0.0,0.0,0.0,11.6,3.8,3.1,5.1
213,Jerell Adams,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Jeremy McNichols,0.0,0.7,1.0,0.0,3.6,1.1,1.5
215,Jerry Jeudy,7.6,8.2,8.0,13.1,0.0,7.4,7.0
216,Jesse James,0.0,0.0,10.3,3.6,0.0,2.8,4.6
217,Jimmy Graham,10.0,2.3,21.0,5.3,10.8,9.9,12.4
218,JoJo Natson,0.0,0.0,0.3,0.0,0.0,0.1,0.1
219,Joe Burrow,17.3,26.5,20.4,16.1,7.3,17.5,14.6
220,Joe Flacco,0.0,0.0,0.0,0.6,13.8,2.9,4.8
221,Joe Mixon,7.6,10.6,7.5,39.1,12.4,15.4,19.7
222,John Hightower,0.3,0.0,2.9,3.2,4.8,2.2,3.6
223,John Hurst,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,John Lovett,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,John Ross,2.7,0.0,0.0,0.0,0.0,0.5,0.0
226,Johnny Holton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Jonathan Taylor,11.9,18.0,12.7,8.4,14.4,13.1,11.8
228,Jonathan Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Jonnu Smith,11.6,22.4,8.6,0.0,18.5,12.2,9.0
230,Jordan Akins,10.9,9.0,3.8,6.1,0.0,6.0,3.3
231,Jordan Franks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Jordan Howard,6.7,6.4,6.1,0.4,0.0,3.9,2.2
233,Jordan Love,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Jordan Wilkins,0.0,4.0,5.0,3.6,0.1,2.5,2.9
235,Josh Doctson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Josh Oliver,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Josh Perkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Joshua Dobbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Josiah Deguara,1.7,0.0,0.0,0.0,0.0,0.3,0.0
240,JuJu Smith-Schuster,21.9,8.3,14.3,0.0,4.8,9.9,6.4
241,Julian Edelman,10.5,21.9,3.2,5.0,0.0,8.1,2.7
242,Julio Jones,20.2,3.4,0.0,5.2,0.0,5.8,1.7
243,Justice Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Justin Blackmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Justin Jefferson,3.6,5.9,27.0,12.3,3.8,10.5,14.4
246,Justin Watson,1.1,5.8,0.0,6.0,0.0,2.6,2.0
247,K.J. Hamler,0.0,7.2,4.3,0.0,0.0,2.3,1.4
248,K.J. Osborn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Kaden Smith,2.7,0.9,1.8,1.5,1.2,1.6,1.5
250,Kahale Warring,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Kalen Ballage,0.0,2.7,7.7,2.1,0.0,2.5,3.3
252,Kalif Raymond,0.0,0.0,13.0,0.0,3.6,3.3,5.5
253,Kareem Hunt,10.1,23.1,13.4,19.1,16.8,16.5,16.4
254,Ke'Shawn Vaughn,0.0,0.0,0.0,9.6,1.5,2.2,3.7
255,Keelan Cole,13.2,14.8,6.3,6.6,9.7,10.1,7.5
256,Keith Kirkwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Keith Smith,0.0,0.8,0.8,0.9,0.1,0.5,0.6
258,Keke Coutee,0.0,2.1,0.0,0.0,0.0,0.4,0.0
259,Kenny Golladay,0.0,0.0,14.7,14.2,0.0,5.8,9.6
260,Kenny Stills,0.0,2.6,5.0,10.9,1.9,4.1,5.9
261,Kerryon Johnson,1.4,9.2,3.5,1.7,0.0,3.2,1.7
262,KhaDarel Hodge,1.7,4.9,0.0,0.0,0.0,1.3,0.0
263,Khari Blasingame,1.0,0.0,0.0,0.0,0.0,0.2,0.0
264,Kirk Cousins,22.8,1.5,21.4,14.9,17.2,15.6,17.8
265,Krishawn Hogan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Kyle Lauletta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,Kyle Markway,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Kyle Rudolph,3.8,0.0,8.1,3.7,1.5,3.4,4.4
269,La'Mical Perine,0.0,1.7,3.3,1.5,0.0,1.3,1.6
270,Lamar Jackson,27.5,17.6,16.2,26.0,14.5,20.4,18.9
271,Laviska Shenault Jr.,12.2,8.7,5.9,11.6,11.4,10.0,9.6
272,Le'Veon Bell,5.6,0.0,0.0,0.0,7.2,2.6,2.4
273,LeSean McCoy,0.7,4.6,3.4,1.1,0.0,2.0,1.5
274,Leonard Fournette,2.4,25.6,3.2,0.0,0.0,6.2,1.1
275,Levante Bellamy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Levine Toilolo,1.8,0.0,0.0,0.0,0.0,0.4,0.0
277,Logan Woodside,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Luke Stocker,0.0,0.0,1.1,0.0,0.7,0.4,0.6
279,Lynn Bowden,0.0,0.4,0.0,0.5,0.4,0.3,0.3
280,Mack Hollins,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,Malcolm Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Malik Taylor,0.0,0.0,0.0,2.5,0.0,0.5,0.8
283,Marcedes Lewis,0.0,0.9,8.3,0.0,0.0,1.8,2.8
284,Mark Andrews,20.3,3.4,3.7,19.2,14.6,12.2,12.5
285,Mark Ingram,2.9,14.7,3.0,10.2,5.7,7.3,6.3
286,Marlon Mack,7.1,0.0,0.0,0.0,0.0,1.4,0.0
287,Marqise Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Marquez Valdes-Scantling,17.6,7.9,1.0,6.5,0.0,6.6,2.5
289,Marquise Brown,12.6,6.7,2.3,10.6,16.8,9.8,9.9
290,Marquise Goodwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Marvin Hall,3.1,8.9,0.0,0.0,0.0,2.4,0.0
292,Marvin Jones,7.5,10.3,6.6,1.4,0.0,5.2,2.7
293,Mason Kinsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Mason Rudolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Mason Schreck,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Matt Breida,2.2,4.4,0.4,6.3,6.4,3.9,4.4
297,Matt Flanagan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Matt LaCosse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Matt Ryan,24.9,28.5,12.4,12.4,7.9,17.2,10.9
300,Matt Schaub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Matthew Slater,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Matthew Stafford,17.2,17.2,18.5,23.3,0.0,15.2,13.9
303,Melvin Gordon,16.1,15.4,5.8,24.8,0.0,12.4,10.2
304,Michael Pittman,2.0,5.7,4.1,0.0,0.0,2.4,1.4
305,Mike Boone,0.0,0.0,0.0,0.0,1.9,0.4,0.6
306,Mike Davis,0.0,11.5,19.1,19.6,25.4,15.1,21.4
307,Mike Evans,6.7,19.9,13.2,21.7,12.6,14.8,15.8
308,Mike Gesicki,4.5,23.0,8.0,2.0,11.6,9.8,7.2
309,Mike Glennon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Mike Thomas,2.7,11.1,1.9,1.0,1.2,3.6,1.4
311,Mike Warren,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,Miles Boykin,5.2,5.8,1.3,3.8,0.0,3.2,1.7
313,Miles Sanders,0.0,20.6,12.7,8.6,22.9,13.0,14.7
314,Mitchell Trubisky,24.3,15.2,12.6,0.0,0.0,10.4,4.2
315,Mo Alie-Cox,3.0,13.6,12.5,7.8,0.0,7.4,6.8
316,MyCole Pruitt,6.6,0.0,2.6,0.0,0.0,1.8,0.9
317,Myles Gaskin,8.6,11.2,12.0,7.7,17.6,11.4,12.4
318,N'Keal Harry,6.4,11.2,4.6,9.6,0.0,6.4,4.7
319,Nate Sudfeld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,Nick Bawden,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Nick Boyle,1.3,1.6,7.0,1.4,0.7,2.4,3.0
322,Nick Chubb,7.1,25.8,23.5,4.3,0.0,12.1,9.3
323,Nick Foles,0.0,0.0,18.2,12.9,12.6,8.7,14.6
324,Nick Vannett,-0.1,0.0,0.0,1.2,0.0,0.2,0.4
325,Nick Westbrook,0.0,0.0,0.0,0.0,1.2,0.2,0.4
326,Noah Fant,16.6,15.7,7.1,6.0,0.0,9.1,4.4
327,Noah Togiai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Nyheim Hines,23.3,0.9,8.1,4.7,4.0,8.2,5.6
329,O.J. Howard,11.6,1.6,6.4,12.5,0.0,6.4,6.3
330,Odell Beckham Jr.,3.7,15.4,7.9,35.9,8.9,14.4,17.6
331,Olamide Zaccheaus,0.0,1.5,6.1,12.6,1.8,4.4,6.8
332,Omar Bayless,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,P.J. Walker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Parris Campbell,11.0,0.7,0.0,0.0,0.0,2.3,0.0
335,Patrick Laird,1.9,0.0,0.0,0.0,0.0,0.4,0.0
336,Patrick Ricard,1.3,6.6,0.0,0.0,1.2,1.8,0.4
337,Patrick Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Pharaoh Brown,0.0,0.0,0.0,0.0,0.9,0.2,0.3
339,Pharoh Cooper,0.0,0.0,0.0,0.0,1.7,0.3,0.6
340,Philip Rivers,16.8,11.9,12.7,11.2,7.6,12.0,10.5
341,Phillip Lindsay,4.0,0.0,0.0,0.0,0.0,0.8,0.0
342,Preston Williams,5.1,5.1,7.7,4.0,18.6,8.1,10.1
343,Qadree Ollison,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Quez Watkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Quincy Adeboyejo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Quintez Cephus,5.8,6.9,0.0,0.0,0.0,2.5,0.0
347,Randall Cobb,3.3,8.4,17.5,4.6,7.7,8.3,9.9
348,Rashard Higgins,1.4,0.0,0.0,0.0,10.6,2.4,3.5
349,Ray-Ray McCloud,0.0,0.0,0.0,0.0,9.0,1.8,3.0
350,Rex Burkhead,3.2,6.9,31.3,5.5,0.0,9.4,12.3
351,Richard Rodgers,0.0,0.0,2.5,5.0,2.3,2.0,3.3
352,Riley Ridley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Rob Gronkowski,2.1,0.0,7.8,3.4,6.7,4.0,6.0
354,Robby Anderson,22.4,15.4,8.0,13.9,15.5,15.0,12.5
355,Robert Griffin III,0.3,0.0,0.0,-0.7,-0.1,-0.1,-0.3
356,Robert Tonyan,0.0,9.5,13.5,30.8,0.0,10.8,14.8
357,Rod Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Ronald Jones,9.2,9.7,8.3,15.8,14.0,11.4,12.7
359,Royce Freeman,1.7,2.0,4.5,2.2,0.0,2.1,2.2
