,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
32,Corey Davis,TEN,IND,13.6,11.1,9.4,,,,12.5,22.8,0.0,9.2,13.8,11.6,7.7,6000,,9.16
399,Preston Williams,MIA,NYJ,5.1,3.1,7.7,2.0,18.6,8.8,,2.5,14.0,,,7.7,8.4,4800,IR,8.89
239,John Brown,BUF,LAC,16.0,16.2,0.0,6.2,,0.0,,2.6,13.9,10.2,,8.1,8.9,5700,O,8.5
396,Sammy Watkins,KC,TB,18.0,1.6,9.7,4.3,9.4,,,,,,,8.6,7.8,5600,,8.36
377,Courtland Sutton,DEN,NO,,8.1,,,,,,,,,,8.1,8.1,4500,IR,8.33
63,Emmanuel Sanders,NO,DEN,9.0,2.3,13.6,12.3,18.2,,,,11.8,1.0,8.6,9.6,7.1,5600,,8.0
106,Hunter Renfrow,LV,ATL,3.1,5.2,17.4,8.2,4.7,,6.2,10.6,7.0,4.0,4.7,7.1,5.2,5100,,7.97
141,Mecole Hardman,KC,TB,1.1,4.3,16.1,10.7,6.0,0.0,8.0,19.1,6.3,,2.1,7.4,9.2,5500,,7.94
379,Golden Tate,NYG,CIN,,7.2,6.1,4.0,6.2,1.6,10.4,10.1,,5.4,,6.4,8.6,5100,,7.91
75,Rashard Higgins,CLE,JAX,1.4,,,,10.6,7.8,14.0,1.9,,6.3,8.0,7.1,5.4,5500,,7.71
89,K.J. Hamler,DEN,NO,,7.2,4.3,,,,4.4,8.8,12.0,7.0,5.5,7.0,8.2,5100,,7.57
118,Jarvis Landry,CLE,JAX,8.6,6.1,5.6,7.3,10.8,5.5,7.7,7.2,,4.4,3.6,6.7,5.1,5700,,7.28
48,Antonio Brown,TB,KC,,,,,,,,,4.6,10.1,9.8,8.2,8.2,6500,,7.26
81,Zach Pascal,IND,TEN,2.8,9.4,4.4,7.3,2.5,13.4,,5.9,8.0,5.3,6.9,6.6,6.7,5000,Q,7.23
362,Laviska Shenault Jr.,JAX,CLE,12.2,8.7,5.9,11.6,11.4,2.6,,,0.4,,,7.5,4.8,5000,,7.06
23,Michael Thomas,NO,DEN,3.2,,,,,,,,7.6,3.7,14.9,7.4,8.7,7700,,7.05
101,Josh Reynolds,LAR,SF,2.2,4.3,6.0,4.0,5.6,11.5,13.2,6.4,,13.4,4.7,7.1,8.2,5800,,7.03
67,Demarcus Robinson,KC,TB,3.5,4.3,0.0,,1.2,9.4,0.9,14.3,8.9,,7.4,5.5,10.2,5300,,6.91
356,Deebo Samuel,SF,LAR,,,,6.0,3.2,15.0,9.7,,,,,8.5,9.3,6000,,6.67
71,Denzel Mims,NYJ,MIA,,,,,,,6.2,5.2,8.2,,8.6,7.0,7.3,5600,,6.54
51,Russell Gage,ATL,LV,15.9,13.6,3.6,3.0,2.6,8.5,8.4,3.5,2.1,,9.3,7.0,5.0,5200,,6.45
127,Jakeem Grant,MIA,NYJ,4.0,0.7,5.3,5.1,-0.1,6.8,,10.0,5.5,12.3,2.5,5.2,6.8,4800,Q,6.38
243,Parris Campbell,IND,TEN,11.0,0.7,,,,,,,,,,5.8,5.8,4500,IR,6.33
263,Julian Edelman,NE,ARI,10.5,21.9,3.2,5.0,,1.8,1.8,,,,,7.4,2.9,5500,IR,6.16
295,Adam Humphries,TEN,IND,7.7,13.3,6.1,,,15.4,2.4,0.0,,,,7.5,5.9,4900,O,6.16
44,Larry Fitzgerald,ARI,NE,5.4,8.5,0.5,1.4,5.5,3.7,10.2,,7.4,2.3,10.2,5.5,6.6,5100,O,6.09
