,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
25,Melvin Gordon,DEN,NO,14.1,15.4,5.8,24.8,,,11.0,7.7,3.2,4.6,,10.8,,6800,,6.78
223,Saquon Barkley,NYG,CIN,9.6,2.8,,,,,,,,,,6.2,,4500,IR,6.47
39,Frank Gore,NYJ,MIA,2.4,6.3,6.7,4.1,3.0,9.0,6.0,3.0,6.9,,,5.3,,5200,,6.27
155,Brian Hill,ATL,LV,3.0,3.5,14.5,3.3,6.4,2.4,4.5,7.4,2.4,,,5.3,,5100,,6.24
171,Alexander Mattison,MIN,CAR,10.0,2.1,2.7,7.7,15.1,3.5,,0.8,6.9,0.4,,5.5,,5200,,6.06
76,La'Mical Perine,NYJ,MIA,,1.7,3.3,1.5,,4.6,12.6,4.3,4.8,,,4.7,,5400,IR,5.56
212,Ameer Abdullah,MIN,CAR,,,,,,1.3,,,8.7,,,5.0,,4500,,5.51
213,Josh Adams,NYJ,MIA,9.2,0.0,,,,,,,,,,4.6,,4500,,5.44
407,T.J. Yeldon,BUF,LAC,,,1.8,0.0,13.9,,,,,,,5.2,,4500,,5.25
43,James White,NE,ARI,6.7,,,9.4,,11.3,0.8,4.5,4.4,1.8,,5.6,,5400,,5.13
335,Alfred Morris,NYG,CIN,,,,,,,,2.8,7.6,3.4,,4.6,,4500,,4.8
119,Jordan Wilkins,IND,TEN,,4.0,5.0,3.6,0.1,-0.1,,17.8,4.8,2.8,,4.7,,5000,,4.78
392,Ke'Shawn Vaughn,TB,KC,,,,9.6,-0.5,4.2,,,,,,4.4,,4600,,4.72
84,Phillip Lindsay,DEN,NO,4.0,,,,,10.1,7.9,15.1,2.3,0.2,,6.6,,5300,,4.14
194,Gabe Nabers,LAC,BUF,,,,1.4,,,0.0,6.7,6.9,1.4,,3.3,,4500,,4.12
132,Samaje Perine,CIN,NYG,,,,,,0.0,1.1,9.9,,6.0,,4.2,,4800,,3.87
285,JaMycal Hasty,SF,LAR,,,2.3,,,3.7,7.8,9.6,2.3,1.9,,4.6,,5300,,3.77
80,Cam Akers,LAR,SF,4.8,1.3,,,6.1,,,5.9,,3.8,,4.4,,5500,,3.7
